condition,update_rule,seed,centralization,timestep,pairwise_consistency,overall_consistency,prototype_diversity
lattice,conflict,1,0.0041228612657184084,60,0.534,0.6442,0.09043480576462537
lattice,conflict,1,0.0041228612657184084,80,0.5336,0.6158,0.08033094398001495
lattice,conflict,1,0.0041228612657184084,100,0.5234000000000001,0.6346,0.06971497050681119
lattice,conflict,1,0.0041228612657184084,120,0.5542000000000001,0.6576000000000001,0.06207265168717499
lattice,conflict,1,0.0041228612657184084,140,0.5539999999999999,0.6476,0.06178124951121601
lattice,conflict,1,0.0041228612657184084,160,0.5294000000000001,0.6178,0.05477728397509167
lattice,conflict,1,0.0041228612657184084,180,0.5224,0.5942,0.05438951682373171
lattice,conflict,1,0.0041228612657184084,200,0.5592,0.6714000000000001,0.05081797426563656
lattice,conflict,2,0.0041228612657184084,0,0.5024000000000001,0.5232,0.28881926161221333
lattice,conflict,2,0.0041228612657184084,20,0.5056,0.5458,0.16963431708666912
lattice,conflict,2,0.0041228612657184084,40,0.5072,0.5762,0.11745584158140894
lattice,conflict,2,0.0041228612657184084,60,0.5042,0.5528,0.08922185992887813
lattice,conflict,2,0.0041228612657184084,80,0.5294,0.6199999999999999,0.07414808502065223
lattice,conflict,2,0.0041228612657184084,100,0.49760000000000004,0.5316000000000001,0.06472089850132932
lattice,conflict,2,0.0041228612657184084,120,0.5428,0.6294,0.05559744559973321
lattice,conflict,2,0.0041228612657184084,140,0.502,0.53,0.052988984676663915
lattice,conflict,2,0.0041228612657184084,160,0.4976,0.565,0.05430141849482159
lattice,conflict,2,0.0041228612657184084,180,0.5036,0.5194000000000001,0.053813900587713924
lattice,conflict,2,0.0041228612657184084,200,0.49500000000000005,0.556,0.05140734621479327
lattice,ambiguous,0,0.0041228612657184084,0,0.5044000000000001,0.522,0.2941714781854854
lattice,ambiguous,0,0.0041228612657184084,20,0.4957999999999999,0.5218,0.24751324270233435
lattice,ambiguous,0,0.0041228612657184084,40,0.49800000000000005,0.5298,0.21562491355910732
lattice,ambiguous,0,0.0041228612657184084,60,0.5042,0.5322,0.19518824243163074
lattice,ambiguous,0,0.0041228612657184084,80,0.5084000000000001,0.5372,0.17981623057583201
lattice,ambiguous,0,0.0041228612657184084,100,0.5078,0.5685999999999999,0.16290607741121177
lattice,ambiguous,0,0.0041228612657184084,120,0.5267999999999999,0.5886,0.14399932726130635
lattice,ambiguous,0,0.0041228612657184084,140,0.5322,0.6252,0.12943872302628692
lattice,ambiguous,0,0.0041228612657184084,160,0.5226,0.6074,0.11817479732350365
lattice,ambiguous,0,0.0041228612657184084,180,0.5456,0.6486,0.10888331165136705
lattice,ambiguous,0,0.0041228612657184084,200,0.5597999999999999,0.6492,0.09965563511372307
lattice,ambiguous,1,0.0041228612657184084,0,0.4978000000000001,0.5396,0.2846610433732736
lattice,ambiguous,1,0.0041228612657184084,20,0.498,0.5426,0.2371776211939687
lattice,ambiguous,1,0.0041228612657184084,40,0.506,0.5578,0.205561055784387
lattice,ambiguous,1,0.0041228612657184084,60,0.5068,0.5502,0.18093655120132934
